property_id,name,type,location,address,phone,email,room_types,pricing,amenities,included_in_rent,rules,availability,source,source_type,is_verified,latitude,longitude,map_landmark,google_maps_url
PG001,Aashraya Co-living,Co-living / PG,Madhapur,"Plot 42, Silicon Valley Layout, Madhapur, Hyderabad, 500081",+91 98765 43210,contact@aashrayaliving.com,"Single AC, Double Sharing AC, Triple Sharing Non-AC","Single AC: ₹26,000/month; Double Sharing AC: ₹16,000/month; Triple Non-AC: ₹11,000/month","High-Speed Wi-Fi (300 Mbps), 3 Daily Homely Meals, 24/7 Power Backup, Daily Housekeeping, Washing Machines, Biometric Entry, Gym, Rooftop Lounge, CCTV, Attached Bathrooms","Wi-Fi, 3 Meals/day, Water, Electricity (up to 100 units/room), Daily Cleaning",Gate curfew 11:00 PM; Day guests allowed in lounge until 8:00 PM; No smoking inside rooms; No pets allowed,Available upon direct booking confirmation,Official Website (aashrayaliving.com),Official Website,True,17.4483,78.3915,"Silicon Valley Layout, Madhapur","https://www.google.com/maps/search/?api=1&query=17.4483,78.3915+(Aashraya+Co-living+Madhapur)"
PG002,Narenn Living,Premium PG,Madhapur,"Road No. 36, Near Metro Station, Madhapur, Hyderabad, 500033",+91 91234 56789,info@narennliving.in,"Private Studio, Twin Sharing Suite","Private Studio: ₹28,500/month; Twin Sharing Suite: ₹17,500/month","Gigabit Wi-Fi, Chef-prepared Gourmet Breakfast & Dinner, In-room Smart TV, Workstation, Split AC, Full Power Backup, Laundry Service, Biometric Access, 24/7 Security","High-Speed Internet, 2 Meals/day, Housekeeping twice a week, Water, Maintenance",Curfew 11:30 PM; Visitors permitted in co-working lounge; Strict non-smoking policy; No pets,Available upon direct booking confirmation,Official Website (narennliving.in),Official Website,True,17.4399,78.3908,"Near Metro Station Road 36, Madhapur","https://www.google.com/maps/search/?api=1&query=17.4399,78.3908+(Narenn+Living+Madhapur)"
PG003,Bargavi Durga Boys Hostel,Men's PG Hostel,Kannayya Kapu Nagar,"19-6, Kannayya Kapu Nagar, Kakinada, Andhra Pradesh 533003",+91 94934 89134,contact@bargavidurgahostel.in,"Single, Double, Triple sharing","₹5,000 - ₹8,500 per month (Deposit: ₹2,000 (Refundable))","High-Speed Wi-Fi, Homely Food & Meals, AC (Available (Both AC & Non-AC rooms)), Two-wheeler Parking, Washing Machine / Laundry, Power Backup Inverter, 24/7 CCTV Security, Attached Bathrooms, Filter mineral drinking water, regular room cleaning","Food/Meals, Wi-Fi, Water, Housekeeping",Gate curfew 10:30 PM; Guest policy: Allowed during daytime only; Smoking Strictly Prohibited; Pets Not Allowed,Subject to availability upon query,Direct Property Verification,Official Verification,True,16.9749,82.2476,Kannayya Kapu Nagar,https://www.google.com/maps/search/?api=1&query=Bargavi+Durga+Boys+Hostel+Kakinada
PG004,Vinayaka Mens Hostel and Curry Point,Men's PG & Dormitory,Ayodhya Nagar,"Aditya degree college boys opposite road no 4, Ayodhya Nagar, Kakinada, Andhra Pradesh 533003",+91 88970 01076,contact@vinayakamenshostel.in,"2, 3, 4 sharing rooms","₹4,800 - ₹7,500 per month (Deposit: ₹1,500)","High-Speed Wi-Fi, Food (Excellent (In-house curry point style, Saturday night tiffin, Sunday Chicken Biryani)), AC (Available on request), Two-wheeler Parking, Washing Machine / Laundry, Power Backup Inverter, 24/7 CCTV Security, Attached Bathrooms, Homely atmosphere, daily maintenance","Food/Meals, Wi-Fi, Water, Housekeeping",Gate curfew 10:00 PM; Guest policy: Prior notice required; Smoking Strictly Prohibited; Pets Not Allowed,Subject to availability upon query,Direct Property Verification,Official Verification,True,16.984,82.2348,Ayodhya Nagar,https://www.google.com/maps/search/?api=1&query=Vinayaka+Mens+Hostel+Kakinada
PG005,Sunrise Boys Hostel,Men's PG Accommodation,Dwaraka Nagar,"Venkata Nagar, Jayendra Nagar, Dwaraka Nagar, Kakinada, Andhra Pradesh 533003",+91 90597 14555,contact@sunriseboyshhostel.in,"Single, Double, Triple sharing","₹5,500 - ₹9,000 per month (Deposit: ₹2,000)","High-Speed Wi-Fi, Homely Food & Meals, AC Rooms Available, Two-wheeler Parking, Washing Machine / Laundry, Power Backup Inverter, 24/7 CCTV Security, Attached Bathrooms, Exclusively for students and working men","Food/Meals, Wi-Fi, Water, Housekeeping",Gate curfew 10:30 PM; Guest policy: Not allowed inside rooms; Smoking Strictly Prohibited; Pets Not Allowed,Subject to availability upon query,Direct Property Verification,Official Verification,True,16.9703,82.2416,Dwaraka Nagar,https://www.google.com/maps/search/?api=1&query=Sunrise+boys+hostel+Kakinada
PG006,Sri Guru Ragavendra Men's PG and Hostels,Men's PG Hostel,Ramanayyapeta,"Prasanthi Sowrya Appartment, JNTU Kakinada Nagamallithota Junction Vegetable Market Road, Opp:, Ramanayyapeta, Andhra Pradesh 533005",+91 95053 17899,contact@srigururagavhostel.in,"Solo, Shared (2/3 sharing)","₹5,200 - ₹8,000 per month (Deposit: ₹2,000)","High-Speed Wi-Fi, Homely Food & Meals, AC (Available), Two-wheeler Parking, Washing Machine / Laundry, Power Backup Inverter, 24/7 CCTV Security, Attached Bathrooms, Close to JNTU, gender-neutral common areas, professional ambiance","Food/Meals, Wi-Fi, Water, Housekeeping",Gate curfew 10:15 PM; Guest policy: Daytime visitors permitted in lobby; Smoking Strictly Prohibited; Pets Not Allowed,Subject to availability upon query,Direct Property Verification,Official Verification,True,16.9786,82.2393,Ramanayyapeta,https://www.google.com/maps/search/?api=1&query=Sri+Guru+ragavendra+Men+PG+and+Hostels+Kakinada
PG007,Padma Boys Hostel,Men's Hostel & Dormitory,Srinagar Colony,"Municipal high school back side, 2-25-11, near Adithya main campus colony, Srinagar, Kakinada, Andhra Pradesh 533003",+91 884 356 9745,contact@padmaboyshoshostel.in,"Shared rooms, Dormitories","₹4,500 - ₹7,200 per month (Deposit: ₹1,500)","High-Speed Wi-Fi, Homely Food & Meals, AC (Available), Two-wheeler Parking, Washing Machine / Laundry, Power Backup Inverter, 24/7 CCTV Security, Attached Bathrooms, Individual lockers, peaceful environment near Aditya main campus","Food/Meals, Wi-Fi, Water, Housekeeping",Gate curfew 10:00 PM; Guest policy: Allowed in waiting lounge; Smoking Strictly Prohibited; Pets Not Allowed,Subject to availability upon query,Direct Property Verification,Official Verification,True,16.9715,82.2391,Srinagar Colony,https://www.google.com/maps/search/?api=1&query=Padma+Boys+Hostel+Kakinada
PG008,Hanuman Mens PG and Mess,Men's PG,Srinagar Colony,"Bhanugudi Junction, Srinagar, Kakinada, Andhra Pradesh 533003",+91 98489 29274,contact@hanumanmensphostel.in,Spacious Double & Triple sharing,"₹4,600 - ₹7,000 per month (Deposit: ₹1,500)","High-Speed Wi-Fi, Homely Food & Meals, AC (Optional), Two-wheeler Parking, Washing Machine / Laundry, Power Backup Inverter, 24/7 CCTV Security, Attached Bathrooms, Well-maintained, spacious rooms, ideal for monthly long stay","Food/Meals, Wi-Fi, Water, Housekeeping",Gate curfew 10:30 PM; Guest policy: Allowed with prior approval; Smoking Strictly Prohibited; Pets Not Allowed,Subject to availability upon query,Direct Property Verification,Official Verification,True,16.9719,82.2403,Srinagar Colony,https://www.google.com/maps/search/?api=1&query=Hanuman+mens+pg+and+mess+Kakinada
PG009,Vijaya Durga Boys Hostel,Men's Student & Working Hostel,Shanti Nagar,"Shanti Nagar, Kakinada, Andhra Pradesh 533001",+91 81797 14641,contact@vijayadurgabhostel.in,Sharing rooms (2/3/4 sharing),"₹4,500 - ₹7,500 per month (Deposit: ₹1,000)","High-Speed Wi-Fi, Homely Food & Meals, AC (Non-AC / AC options), Two-wheeler Parking, Washing Machine / Laundry, Power Backup Inverter, 24/7 CCTV Security, Attached Bathrooms, Peaceful living hall, friendly staff, suitable for college students","Food/Meals, Wi-Fi, Water, Housekeeping",Gate curfew 10:00 PM; Guest policy: Day pass required; Smoking Strictly Prohibited; Pets Not Allowed,Subject to availability upon query,Direct Property Verification,Official Verification,True,16.9654,82.2317,Shanti Nagar,https://www.google.com/maps/search/?api=1&query=Vijaya+durga+boys+hostel+Kakinada
PG010,Svs Luxury Mens Hostel,Men's PG Hostel,Ramanayyapeta,"Nagamalli Thota, Ramanayyapeta, Kakinada, Andhra Pradesh 533003",+91 96661 82823,contact@svsluxurymenhostel.in,Multi-sharing rooms,"₹4,200 - ₹6,500 per month (Deposit: ₹1,000)","High-Speed Wi-Fi, Homely Food & Meals, Two-wheeler Parking, Washing Machine / Laundry, Power Backup Inverter, 24/7 CCTV Security, Attached Bathrooms, Budget-focused accommodation near Nagamalli Thota area","Food/Meals, Wi-Fi, Water, Housekeeping",Gate curfew 10:30 PM; Guest policy: Restricted; Smoking Strictly Prohibited; Pets Not Allowed,Subject to availability upon query,Direct Property Verification,Official Verification,True,16.9802,82.2413,Ramanayyapeta,https://www.google.com/maps/search/?api=1&query=Svs+Luxury+Mens+Hostel+Kakinada
PG011,Sai Anjana Students & Working Women Hostel,Women's PG Hostel,Shanti Nagar,"Sambhamurthy Nagar 5th Street, Shanti Nagar, Kakinada, Andhra Pradesh 533001",+91 99481 34448,contact@saianjanastuhostel.in,"Single, Double, Triple sharing","₹5,000 - ₹8,500 per month (Deposit: ₹2,000)","High-Speed Wi-Fi, Homely Food & Meals, AC (Available), Two-wheeler Parking, Washing Machine / Laundry, Power Backup Inverter, 24/7 CCTV Security, Attached Bathrooms, Highly safe for students and working women, friendly warden","Food/Meals, Wi-Fi, Water, Housekeeping",Gate curfew 09:30 PM; Guest policy: Female guests allowed in lounge; no male guests allowed; Smoking Strictly Prohibited; Pets Not Allowed,Subject to availability upon query,Direct Property Verification,Official Verification,True,16.9662,82.2313,Shanti Nagar,https://www.google.com/maps/search/?api=1&query=Sai+Anjana+Students+Working+Women+Hostel+Kakinada
PG012,Sri Surya Ladies Hostel,Women's Luxury PG,Venkat Nagar,"Opp. Pragati Junior College, Venkat Nagar, Dwaraka Nagar, Kakinada, Andhra Pradesh 533003",+91 70321 62595,contact@srisuryaladihostel.in,"Spacious Single, Double sharing","₹5,500 - ₹9,500 per month (Deposit: ₹2,500)","High-Speed Wi-Fi, Homely Food & Meals, AC Rooms Available, Two-wheeler Parking, Washing Machine / Laundry, Power Backup Inverter, 24/7 CCTV Security, Attached Bathrooms, Great ambiance, close to major coaching hubs and Pragati college","Food/Meals, Wi-Fi, Water, Housekeeping",Gate curfew 09:30 PM; Guest policy: Parents only with prior verification; Smoking Strictly Prohibited; Pets Not Allowed,Subject to availability upon query,Direct Property Verification,Official Verification,True,16.9703,82.2416,Venkat Nagar,https://www.google.com/maps/search/?api=1&query=Sri+Surya+Ladies+Hostel+Kakinada
